# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
0.0	2.01070295871E-20	2.92518285205E-21	2.01070295871E-20	2.92518285205E-21	2.01070295871E-20	2.92518285205E-21
2.0	2.14127563976E-17	1.70420919599E-10	3.07800767136E-16	4.93313172226E-12	2.05140390694E-16	2.53115848077E-12
4.0	6.68300642158E-17	4.77855837519E-10	6.27522606229E-16	2.06096267416E-10	6.17987832507E-16	3.0102568091E-11
6.0	6.15498446176E-16	6.1558129631E-10	1.80696876229E-15	4.01812115827E-10	3.44656246139E-15	5.56828085062E-11
8.0	1.51148849369E-15	6.18515828777E-10	3.70774495952E-15	4.08488480162E-10	1.06985218635E-14	1.18975330816E-9
10.0	2.70780317626E-15	6.25145085418E-10	7.86280201418E-15	7.86941309933E-10	2.053042742E-14	2.31823636415E-9
12.0	5.27679764756E-15	8.30591628714E-10	1.23009343789E-14	1.15865792344E-9	4.38759433915E-14	2.31830820244E-9
14.0	1.54082966124E-14	1.23171591481E-9	4.95771670555E-14	1.15992899037E-9	1.25125686752E-13	2.32251107613E-9
16.0	2.4161563567E-14	1.43202475213E-9	8.1057003405E-14	1.161415017E-9	2.25690915766E-13	2.34525439843E-9
18.0	4.20269798695E-14	1.43339441946E-9	1.03607286406E-13	1.16622995103E-9	3.87500801615E-13	2.36381934166E-9
20.0	7.54928934028E-14	1.43506725464E-9	1.86410026693E-13	1.1697828885E-9	9.86195767214E-13	2.36385575771E-9
22.0	9.67660325694E-14	1.43612806568E-9	3.71309543979E-13	1.17119690207E-9	1.51428700889E-12	2.36735986574E-9
24.0	1.21199932929E-13	1.57855176224E-9	6.17194709951E-13	1.17290438643E-9	1.91784561939E-12	2.37113336692E-9
26.0	2.70089178776E-13	1.72055494936E-9	1.6951550631E-12	1.19093598286E-9	5.86718055588E-12	2.37155313185E-9
28.0	3.6159670578E-13	1.72176037634E-9	3.42456399887E-12	1.3510320116E-9	1.8882376273E-11	2.37266729681E-9
30.0	6.27274310123E-13	1.72267946234E-9	7.82429299306E-12	1.49317354896E-9	1.41692375128E-10	2.37759078713E-9
32.0	1.01604660386E-12	2.69663776424E-9	4.29203123023E-11	1.81946269438E-9	3.09385715448E-10	2.38443519588E-9
34.0	2.37694467477E-12	3.68856410525E-9	1.0359723468E-10	2.14623943376E-9	5.62554306831E-10	2.81206967862E-9
36.0	3.67983263277E-12	3.71523894301E-9	1.42619677886E-10	2.25186255426E-9	1.2436462196E-9	3.24410108834E-9
