# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
0.0	2.02300716054E-20	2.02300716054E-20	2.02300716054E-20	2.02300716054E-20
2.0	1.26284564974E-18	7.52457966774E-19	3.56165543191E-16	1.13210386974E-15
4.0	3.07771945541E-18	1.57187954455E-18	7.13685813521E-16	2.262727492E-15
6.0	5.59714875835E-18	3.21482703052E-18	7.29847043028E-16	2.27614730153E-15
8.0	8.28516314115E-18	4.8626553683E-18	7.41091195655E-16	2.28435758037E-15
10.0	1.03752399638E-17	6.39400473882E-18	7.51438952013E-16	2.29127237232E-15
12.0	1.14546939065E-17	7.21091721139E-18	7.60126163339E-16	2.29735661551E-15
14.0	1.20029010883E-17	7.84128567191E-18	7.70021596129E-16	2.30980330562E-15
16.0	1.25243866633E-17	8.34366900104E-18	7.75609648143E-16	2.31675140646E-15
18.0	1.28844185305E-17	8.90906945408E-18	7.80609673606E-16	2.31921339524E-15
20.0	1.31889056321E-17	9.53899891334E-18	7.84511619741E-16	2.32076263835E-15
22.0	1.37259229534E-17	9.92977313104E-18	7.87011653498E-16	2.32242704781E-15
24.0	1.39762953879E-17	1.0179645348E-17	7.90899007119E-16	2.32976493188E-15
26.0	1.41252888913E-17	1.04165298258E-17	7.95814489129E-16	2.36324288368E-15
28.0	1.42121184461E-17	1.06016709043E-17	7.99991549455E-16	2.37408203441E-15
30.0	1.43735375596E-17	1.08913771309E-17	8.02086794821E-16	2.37521831371E-15
32.0	1.45772379776E-17	1.11496702237E-17	8.03785593317E-16	2.37658201611E-15
34.0	1.49312790988E-17	1.1314899422E-17	8.05211763389E-16	3.41428673221E-15
36.0	1.53308196142E-17	1.16110607416E-17	8.06992053342E-16	4.38410183728E-15
38.0	1.58012720366E-17	1.20473287801E-17	8.08196166693E-16	5.11535337952E-15
40.0	1.62842372306E-17	1.22922113121E-17	8.09190500253E-16	5.52233040714E-15
42.0	1.67411765982E-17	1.24906583862E-17	8.09901101984E-16	6.54356332103E-15
44.0	1.7487978836E-17	1.26762459905E-17	8.10384107747E-16	7.76013419678E-15
46.0	1.82985370874E-17	1.29204680385E-17	8.10763107467E-16	8.63982168688E-15
48.0	1.86472806339E-17	1.32042630343E-17	8.11459944976E-16	9.15296826608E-15
50.0	1.90555706524E-17	1.34491376866E-17	8.1208123058E-16	9.44634799101E-15
52.0	1.94475125203E-17	1.36300275407E-17	8.12516988006E-16	9.66901899061E-15
54.0	1.98817699578E-17	1.37476643047E-17	8.13386707018E-16	9.85775733819E-15
56.0	2.01892659256E-17	1.3829758753E-17	8.14543565741E-16	1.00278050402E-14
58.0	2.04875277509E-17	1.38964615081E-17	8.16101253696E-16	1.01679903858E-14
60.0	2.07332103196E-17	1.39662068318E-17	8.16930871029E-16	1.02829826312E-14
62.0	2.10662715757E-17	1.4046107582E-17	8.18988699592E-16	1.03802331267E-14
64.0	2.12560501918E-17	1.41325468871E-17	8.21762059366E-16	1.04707679153E-14
66.0	2.15845695752E-17	1.41939540055E-17	8.229305158E-16	1.05479440877E-14
68.0	2.17345953502E-17	1.42831026975E-17	8.23766712142E-16	1.06401883593E-14
70.0	2.1939222516E-17	1.43891890433E-17	8.24338654653E-16	1.07373487801E-14
72.0	2.2121285312E-17	1.44771356995E-17	8.25224501692E-16	1.08150185811E-14
74.0	2.24316598966E-17	1.45716456207E-17	8.25918929129E-16	1.08575333928E-14
76.0	2.2650770078E-17	1.46483352019E-17	8.26907707311E-16	1.08835690426E-14
78.0	2.27921744007E-17	1.47209411554E-17	8.27464682528E-16	1.09145202466E-14
80.0	2.28948870577E-17	1.48118506561E-17	8.28073779294E-16	1.09526741443E-14
82.0	2.32105574209E-17	1.48661766257E-17	8.28289529117E-16	1.09886623545E-14
84.0	2.34783231899E-17	1.49244503524E-17	8.28597990183E-16	1.10153883449E-14
86.0	2.3593587289E-17	1.50068328336E-17	8.28925279865E-16	1.10340463102E-14
88.0	2.37663016897E-17	1.50914221097E-17	8.29273713045E-16	1.10548060985E-14
90.0	2.38804876872E-17	1.51737569689E-17	8.29801281456E-16	1.10788374107E-14
92.0	2.4084803835E-17	1.52466803867E-17	8.30346583098E-16	1.109593237E-14
94.0	2.41994212183E-17	1.52973411546E-17	8.31343798162E-16	1.11059764213E-14
96.0	2.43523994165E-17	1.53566737617E-17	8.32732528615E-16	1.11142030321E-14
98.0	2.44902411744E-17	1.54297962434E-17	8.33996080899E-16	1.11277432011E-14
100.0	2.46796609418E-17	1.5481983225E-17	8.35043360258E-16	1.11401859946E-14
102.0	2.48014156823E-17	1.55408333825E-17	8.35717097256E-16	1.11481246335E-14
104.0	2.49325536818E-17	1.56069363648E-17	8.36124271498E-16	1.11502694952E-14
106.0	2.50242504298E-17	1.56682060484E-17	8.36633323821E-16	1.11545393368E-14
108.0	2.52167881435E-17	1.57267333363E-17	8.37124839408E-16	1.11674396084E-14
110.0	2.54339356087E-17	1.58082318921E-17	8.37398017886E-16	1.11760037101E-14
112.0	2.55853163046E-17	1.58897296788E-17	8.37595119877E-16	1.11796726981E-14
114.0	2.57270905758E-17	1.59690663708E-17	8.37855060238E-16	1.11825849912E-14
116.0	2.58491913718E-17	1.60757525664E-17	8.38373709031E-16	1.11860564427E-14
118.0	2.60072270199E-17	1.61959642524E-17	8.39097004742E-16	1.11892338125E-14
120.0	2.62007629006E-17	1.63442950085E-17	8.39714157958E-16	1.11913839297E-14
122.0	2.64210589254E-17	1.65310525249E-17	8.40196506674E-16	1.11923814879E-14
124.0	2.66583508426E-17	1.66690063027E-17	8.40343867989E-16	1.1193950303E-14
126.0	2.69036426822E-17	1.68518774828E-17	8.40521416104E-16	1.11946356023E-14
128.0	2.71559659437E-17	1.70567818763E-17	8.40695308447E-16	1.11955875189E-14
130.0	2.74511638382E-17	1.72571859055E-17	8.40863767749E-16	1.11965208071E-14
132.0	2.77810019274E-17	1.74591733501E-17	8.40999228681E-16	1.11970543789E-14
134.0	2.8116796981E-17	1.76864311994E-17	8.41116315339E-16	1.11973823307E-14
136.0	2.84377254443E-17	1.79461141835E-17	8.41264137642E-16	1.11979589177E-14
138.0	2.87768124678E-17	1.82192173294E-17	8.41375436634E-16	1.11987515715E-14
140.0	2.92192478268E-17	1.85477235809E-17	8.41479454254E-16	1.11999795401E-14
142.0	2.97551141744E-17	1.89318833125E-17	8.41624503215E-16	1.12002555519E-14
144.0	3.03827550042E-17	1.93794839636E-17	8.41712653462E-16	1.12006846105E-14
146.0	3.11182560266E-17	1.98906938559E-17	8.41870913294E-16	1.12013110908E-14
148.0	3.19851689104E-17	2.04408175562E-17	8.41951329273E-16	1.12019636815E-14
150.0	3.28851790671E-17	2.10217006139E-17	8.4203123602E-16	1.12029524144E-14
152.0	3.38497857441E-17	2.16504685475E-17	8.42145131324E-16	1.12035334461E-14
154.0	3.48633838925E-17	2.23252457682E-17	8.42260658936E-16	1.12033591042E-14
156.0	3.59337245636E-17	2.30745427355E-17	8.42354233719E-16	1.12036466365E-14
158.0	3.70677891761E-17	2.39434531249E-17	8.42435869375E-16	1.12046577614E-14
160.0	3.83176296399E-17	2.49573370593E-17	8.4254386838E-16	1.12051615049E-14
